Animal,Symptoms,Disease,Explanation,Precautions
Fish,red streaks on body; ulcers; fin erosion,Columnaris,"Columnaris is a bacterial infection causing saddleback lesions, ulcers, and rapid death in fish.","Antibiotics; improve water quality; lower temperature; salt baths; isolate affected fish."
Fish,swollen body; bulging eyes; lethargy,Popeye,"Popeye is caused by bacterial infection or trauma leading to fluid behind the eyes.","Improve water quality; antibiotics; treat underlying infection; isolate fish; surgical intervention if needed."
Goldfish,lethargy; floating unbalanced; loss of appetite,Dropsy,"Dropsy in goldfish indicates serious internal issues causing severe swelling and scale raising.","Isolate fish; improve water quality; antibiotics; Epsom salt treatment; often fatal."
Goldfish,white fuzzy growths; ulcers; fungal infection,Saprolegnia,"Saprolegnia is a fungal infection affecting injured fish, causing cotton-like growths.","Antifungal treatment; improve water quality; salt baths; remove affected fish; prevent injuries."
Parrot,feather loss; itching; bald patches,Feather Plucking,"Feather plucking is caused by boredom, stress, nutritional deficiencies, or medical problems.","Enrichment activities; balanced diet; veterinary evaluation; reduce stress; address underlying issues."
Parrot,fluffed feathers; lethargy; breathing difficulty,Respiratory Infection,"Respiratory infections in birds are often caused by bacteria, fungi, or viruses and require immediate attention.","Keep warm; reduce stress; antibiotics; improve air quality; consult vet immediately."
Parrot,weight loss; vomiting; diarrhea; crop stasis,Crop Infection,"Crop infections cause food stagnation, swelling, and systemic illness in birds.","Keep bird warm; crop emptying; antibiotics; hydration; immediate vet care."
Parrot,weakness; trembling; seizures; heavy breathing,Heavy Metal Poisoning,"Heavy metal poisoning from lead or zinc causes neurological symptoms and organ failure.","Seek immediate vet care; chelation therapy; x-rays; remove source; supportive care."
Parrot,swollen eyes; nasal discharge; respiratory distress,Psittacosis,"Psittacosis is a bacterial infection (chlamydia) transmissible to humans causing flu-like symptoms.","Antibiotics (tetracycline); quarantine; good hygiene; vet treatment; zoonotic disease."
Parrot,diarrhea; green droppings; lethargy,Liver Disease,"Liver disease in parrots causes discolored droppings, weakness, and digestive problems.","Diet changes; medication; identify underlying cause; supportive care; reduce toxins."
Parrot,beak overgrowth; difficulty eating; abnormal beak,Beak Trauma,"Beak injuries or infections cause abnormal growth and difficulty eating.","Veterinary trimming; treat underlying cause; proper perches; nutritional support; monitor eating."
Parrot,head tilting; loss of balance; eye discharge,Sinusitis,"Sinus infections cause swelling, discharge, and neurological symptoms in birds.","Antibiotics; nasal flushing; keep warm; reduce stress; humidity control."
Turtle,lethargy; not eating; floating on surface,Respiratory Infection,"Respiratory infections in turtles cause wheezing, mucus, and floating difficulties.","Keep warm and dry; antibiotics; improve water quality; UV lighting; vet care."
Turtle,soft shell; pyramiding; abnormal growth,Metabolic Bone Disease,"MBD is caused by calcium and vitamin D3 deficiency leading to soft, deformed shells.","Supplement calcium; provide UVB lighting; proper diet; increase basking areas; vet treatment."
Turtle,swollen closed eyes; discharge; not eating,Eye Infection,"Eye infections in turtles are often caused by poor water quality or vitamin A deficiency.","Improve water quality; antibiotic eye drops; vitamin A supplementation; clean environment."
Turtle,shell softening; leg weakness; lethargy,Shell Rot,"Shell rot is a bacterial or fungal infection causing soft spots, discharge, and shell decay.","Dry docking; antibiotic treatment; clean environment; improve diet; surgical debridement."
Turtle,not eating; bloated; regurgitation,Gastrointestinal Impaction,"GI impaction causes digestive blockages from substrate or improper food.","Warm soak; massage; veterinary intervention; remove substrate; proper feeding."
Snake,labored breathing; mucus; open-mouth breathing,Respiratory Infection,"Respiratory infections in snakes cause wheezing, mucus, and breathing difficulties.","Improve enclosure humidity; antibiotics; increase temperature; reduce stress; vet care."
Snake,stuck shed; retained eye caps; incomplete shedding,Dysecdysis,"Incomplete shedding is caused by low humidity, dehydration, or nutritional issues.","Increase humidity; provide rough surfaces; soak in warm water; address underlying causes."
Snake,lethargy; weight loss; regurgitation,Inclusion Body Disease,"IBD is a fatal viral disease causing regurgitation, neurological signs, and weight loss in pythons and boas.","Quarantine new snakes; good hygiene; no cure; euthanasia for severe cases; prevention is key."
Snake,swollen gums; mouth rot; refusal to eat,Stomatitis,"Mouth rot is a bacterial infection causing swollen, bleeding gums and oral discharge.","Antibiotic treatment; clean enclosure; improve nutrition; reduce stress; dental care."
Snake,kinked spine; abnormal posture; tremors,Neurological Disease,"Neurological issues in snakes cause tremors, circling, and abnormal body positioning.","Seek veterinary care; diagnostic testing; often caused by infections or genetic issues; supportive care."
Snake,bloating; regurgitation; loss of appetite,Parasitic Infection,"Internal parasites cause digestive issues, weight loss, and regurgitation in snakes.","Deworming medication; quarantine; improve hygiene; proper diet; fecal testing."
Hamster,wet tail; diarrhea; lethargy,Wet Tail,"Wet tail is a severe bacterial infection causing diarrhea, wetness around tail, and rapid death in hamsters.","Seek immediate vet care; antibiotics; keep warm; reduce stress; isolate affected hamster."
Hamster,loss of appetite; overgrown teeth; drooling,Dental Problems,"Hamster teeth grow continuously and can cause pain, drooling, and eating difficulties.","Provide hay and chew toys; vet teeth trimming; proper diet; monitor eating."
Hamster,skin lesions; scratching; hair loss,Fur Mites,"Mites cause intense itching, hair loss, and skin irritation in hamsters.","Ivermectin treatment; clean cage; treat all hamsters; reduce stress; proper hygiene."
Hamster,breathing difficulty; wheezing; lethargy,Respiratory Infection,"Respiratory infections in hamsters are caused by bacteria and require prompt treatment.","Antibiotics; keep warm; clean environment; reduce stress; vet care."
Hamster,rounded abdomen; lumps; difficulty moving,Tumors,"Tumors are common in older hamsters and can be benign or malignant.","Veterinary evaluation; surgery if possible; palliative care; monitor for changes; quality of life assessment."
Guinea Pig,crusty eyes; Sneezing; respiratory issues,Upper Respiratory Infection,"URIs are serious in guinea pigs and require immediate veterinary attention.","Antibiotics; keep warm; vitamin C supplementation; isolate sick guinea pigs; good ventilation."
Guinea Pig,overgrown teeth; drooling; weight loss,Dental Disease,"Guinea pig teeth grow continuously and can cause serious eating problems.","Hay-based diet; vet teeth trimming; regular checkups; proper nutrition; monitor weight."
Guinea Pig,crusty scabs; hair loss; itching,Fungal Infection,"Ringworm causes circular lesions, hair loss, and itching in guinea pigs.","Antifungal medication; clean environment; isolate affected; treat all guinea pigs; good hygiene."
Guinea Pig,swollen feet; reluctance to move; bumblefoot,Bumblefoot,"Bumblefoot is a foot infection caused by injuries, often from dirty bedding.","Clean wounds; antibiotics; improve bedding; reduce pressure on feet; veterinary care."
Guinea Pig,diarrhea; bloating; loss of appetite,Gastrointestinal Stasis,"GI stasis is a dangerous condition where digestion slows or stops.","Hay diet; hydration; motility medication; critical care feeding; urgent vet care."
Guinea Pig,lethargy; weak hind legs; difficulty walking,Scurvy,"Scurvy is caused by vitamin C deficiency causing joint pain, weakness, and skin problems.","Vitamin C supplementation; fresh vegetables; proper diet; immediate treatment; prevention."
